PKG_XFM_LUT_ARRNG_REAS.dtsx	ARRNG_REAS_LUT_Blue_v1
PKG_XFM_LUT_BACS.dtsx	BACS_LUT_Blue_v1
PKG_XFM_LUT_BOOK_FUNDER.dtsx	BOOK_FUNDER_LUT_Blue_v2
PKG_XFM_LUT_BRANCH.dtsx	BRANCH_LUT_Blue_v1
PKG_XFM_LUT_CNTRY_CDE.dtsx	CNTRY_CDE_LUT_Blue_v1
PKG_XFM_LUT_DEED_REAS.dtsx	DEED_REAS_LUT_Blue_v1
PKG_XFM_LUT_EMPST.dtsx	EMPST_LUT_Blue_v1
PKG_XFM_LUT_FRQPAD.dtsx	FRQPAD_LUT_Blue_v1
PKG_XFM_LUT_FUNDS_METHOD.dtsx	FUNDS_METHOD_LUT_Blue_v1
PKG_XFM_LUT_HISTORIC_ACNO.dtsx	HISTORIC_ACNO_LUT_Blue_v1
PKG_XFM_LUT_INSURANCE_CONDITION.dtsx	INSURANCE_CONDITION_LUT_Blue_v1
PKG_XFM_LUT_INSURANCE_ITEM.dtsx	INSURANCE_ITEM_LUT_Blue_v1
PKG_XFM_LUT_INSURANCE_PRODUCT.dtsx	INSURANCE_PRODUCT_LUT_Blue_v1
PKG_XFM_LUT_M_STATUS.dtsx	M_STATUS_LUT_Blue_v1
PKG_XFM_LUT_MARKETING_CHANNEL.dtsx	MARKETING_CHANNEL_LUT_Blue_v1
PKG_XFM_LUT_MEDIACODE.dtsx	MEDIACODE_LUT_Blue_v1
PKG_XFM_LUT_MISC.dtsx	MISC_LUT_Blue_v1
PKG_XFM_LUT_MORTGAGE_REVIEW.dtsx	MORTGAGE_REVIEW_LUT_Blue_v1
PKG_XFM_LUT_MR_ETC.dtsx	MR_ETC_LUT_Blue_v1
PKG_XFM_LUT_NATIONLTY.dtsx	NATIONLTY_LUT_Blue_v1
PKG_XFM_LUT_NM_SUFFIX.dtsx	NM_SUFFIX_LUT_Blue_v1
PKG_XFM_LUT_NOTETYPE.dtsx	NOTETYPE_LUT_Blue_v1
PKG_XFM_LUT_OCCUPATION.dtsx	OCCUPATION_LUT_Blue_v1
PKG_XFM_LUT_OFFER_STATUS.dtsx	OFFER_STATUS_LUT_Blue_v1
PKG_XFM_LUT_PENDING_RATECHANGE.dtsx	PENDING_RATECHANGE_LUT_Blue_v1
PKG_XFM_LUT_PRODUCT.dtsx	PRODUCT_LUT_Blue_v1
PKG_XFM_LUT_PROP_WARANTY.dtsx	PROP_WARANTY_LUT_Blue_v1
PKG_XFM_LUT_PURPOSE.dtsx	PURPOSE_LUT_Blue_v1
PKG_XFM_LUT_RELATIONS.dtsx	RELATIONS_LUT_Blue_v1
PKG_XFM_LUT_REPO_METHOD.dtsx	REPO_METHOD_LUT_Blue_v1
PKG_XFM_LUT_ROOF_TYPE.dtsx	ROOF_TYPE_LUT_Blue_v1
PKG_XFM_LUT_S01_CLASS_TYPE.dtsx	S01_CLASS_TYPE_LUT_Blue_v1
PKG_XFM_LUT_S01_NEW_CLASS.dtsx	S01_NEW_CLASS_LUT_Blue_v1
PKG_XFM_LUT_S01_PROTYPE.dtsx	S01_PROTYPE_LUT_Blue_v1
PKG_XFM_LUT_SALE_METHOD.dtsx	SALE_METHOD_LUT_Blue_v1
PKG_XFM_LUT_SALE_STATUS.dtsx	SALE_STATUS_LUT_Blue_v1
PKG_XFM_LUT_SCHG_REAS.dtsx	SCHG_REAS_LUT_Blue_v1
PKG_XFM_LUT_SCR_BLUE_ACCOUNTNO.dtsx	SCR_BLUE_ACCOUNTNO_LUT_Blue_v1
PKG_XFM_LUT_SEC_TYPE.dtsx	SEC_TYPE_LUT_Blue_v1
PKG_XFM_LUT_SERVICELEVEL.dtsx	SERVICELEVEL_LUT_Blue_v1
PKG_XFM_LUT_TENURE.dtsx	TRACE_TYPE_LUT_Blue_v1
PKG_XFM_LUT_TRACE_AGENT.dtsx	TRACE_AGENT_LUT_Blue_v1
PKG_XFM_LUT_TRACE_TYPE.dtsx	TRACE_AGENT_LUT_Blue_v1
PKG_XFM_LUT_TX.dtsx	TX_LUT_Blue_v1
PKG_XFM_LUT_USERCODE.dtsx	USERCODE_LUT_Blue_v1
PKG_XFM_LUT_VALTYPE.dtsx	VALTYPE_LUT_Blue_v1
PKG_XFM_LUT_WALL_TYPE.dtsx	WALL_TYPE_LUT_Blue_v1
PKG_XFM_LUT_WRNCDE.dtsx	WRNCDE_LUT_Blue_v1
PKG_XFM_LUT_YEAR_END.dtsx	YEAR_END_LUT_Blue_v1
